city,transform,feature_group,feature,generated_feature,parameter_weeks,source_analysis_type,pearson_corr,abs_pearson_corr,best_abs_pearson_corr,relative_to_best,city_abs_corr_threshold,selection_cutoff_abs_corr
sj,lag,station,station_avg_temp_c,station_avg_temp_c_lag_10,10,lag,0.3692731089558227,0.3692731089558227,0.3692731089558227,1.0,0.2,0.35080945350803155
sj,lag,station,station_avg_temp_c,station_avg_temp_c_lag_11,11,lag,0.36469723465381154,0.36469723465381154,0.3692731089558227,0.9876084280413752,0.2,0.35080945350803155
sj,lag,station,station_max_temp_c,station_max_temp_c_lag_10,10,lag,0.3118273526828216,0.3118273526828216,0.3163321360180571,0.9857593243862572,0.2,0.30051552921715424
sj,lag,station,station_max_temp_c,station_max_temp_c_lag_11,11,lag,0.3163321360180571,0.3163321360180571,0.3163321360180571,1.0,0.2,0.30051552921715424
sj,lag,station,station_max_temp_c,station_max_temp_c_lag_12,12,lag,0.3155627888199805,0.3155627888199805,0.3163321360180571,0.9975679132453598,0.2,0.30051552921715424
sj,lag,station,station_min_temp_c,station_min_temp_c_lag_9,9,lag,0.35907397765409044,0.35907397765409044,0.3622973267301657,0.991103028263645,0.2,0.3441824603936574
sj,lag,station,station_min_temp_c,station_min_temp_c_lag_10,10,lag,0.3622973267301657,0.3622973267301657,0.3622973267301657,1.0,0.2,0.3441824603936574
sj,lag,station,station_min_temp_c,station_min_temp_c_lag_11,11,lag,0.35315025439135894,0.35315025439135894,0.3622973267301657,0.9747525811979856,0.2,0.3441824603936574
sj,rolling_mean,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_12_mean,12,rolling,0.3021009250710474,0.3021009250710474,0.3090162049046079,0.9776216272033526,0.2,0.2935653946593775
sj,rolling_mean,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_13_mean,13,rolling,0.3063859810175747,0.3063859810175747,0.3090162049046079,0.9914883949602411,0.2,0.2935653946593775
sj,rolling_mean,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_14_mean,14,rolling,0.3090162049046079,0.3090162049046079,0.3090162049046079,1.0,0.2,0.2935653946593775
