city,loss,feature,importance_gain,importance_split
sj,l1,reanalysis_air_temp_k_lag_8,200.10861015319824,21
sj,l1,reanalysis_specific_humidity_g_per_kg_lag_6,198.97629833221436,20
sj,l1,reanalysis_min_air_temp_k_rolling_6_mean,191.44027185440063,20
sj,l1,station_avg_temp_c_rolling_3_mean,190.13699102401733,20
sj,l1,station_min_temp_c_rolling_5_mean,187.65093231201172,22
sj,l1,reanalysis_min_air_temp_k_rolling_7_mean,179.81159114837646,17
sj,l1,station_max_temp_c_lag_4,168.93307971954346,18
sj,l1,reanalysis_min_air_temp_k_rolling_4_mean,168.20171928405762,16
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_3_mean,168.07677936553955,16
sj,l1,reanalysis_min_air_temp_k_rolling_3_mean,167.98551034927368,17
sj,l1,reanalysis_avg_temp_k_rolling_10_mean,161.66320943832397,13
sj,l1,reanalysis_max_air_temp_k_lag_10,160.0277190208435,18
sj,l1,reanalysis_min_air_temp_k_lag_6,158.18042087554932,18
sj,l1,station_max_temp_c,149.54833126068115,16
sj,l1,reanalysis_specific_humidity_g_per_kg_lag_2,147.43045043945312,15
sj,l1,reanalysis_min_air_temp_k,147.10936880111694,19
sj,l1,station_min_temp_c_rolling_3_mean,142.29813957214355,15
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_8_mean,140.08568000793457,12
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_4_mean,130.25838088989258,10
sj,l1,station_min_temp_c_lag_3,127.05490970611572,16
sj,l1,station_max_temp_c_lag_6,126.34186935424805,14
sj,l1,station_min_temp_c_lag_6,118.79587030410767,14
sj,l1,station_min_temp_c_lag_10,115.6629204750061,15
sj,l1,station_min_temp_c_lag_12,104.00512838363647,10
sj,l1,station_min_temp_c_lag_2,95.37607955932617,11
sj,l1,station_max_temp_c_lag_8,88.79785013198853,10
sj,l1,station_min_temp_c_lag_4,71.2016806602478,10
sj,l1,station_min_temp_c_lag_8,60.65434980392456,7
sj,l1,station_min_temp_c_lag_1,48.005619525909424,6
