component,explained_variance_ratio,cumulative_explained_variance
157,0.0004805988730002633,0.982940387544357
158,0.0004694361981019764,0.983409823742459
159,0.00046806464593363614,0.9838778883883926
160,0.0004531130052096141,0.9843310013936022
161,0.00044519077889874556,0.9847761921725009
162,0.00043664139258104497,0.9852128335650819
163,0.00042215010055364434,0.9856349836656356
164,0.0004173471554886129,0.9860523308211242
165,0.00041201379247302245,0.9864643446135972
166,0.0004097143663300117,0.9868740589799272
167,0.00040045188890080514,0.987274510868828
168,0.0003927459054677503,0.9876672567742958
169,0.00038354341413848454,0.9880508001884343
170,0.00037389299736807075,0.9884246931858024
171,0.00036569076041133254,0.9887903839462138
172,0.00036290412129531894,0.9891532880675091
173,0.0003494038617515378,0.9895026919292607
174,0.0003452440381804176,0.989847935967441
175,0.0003436102312148685,0.9901915461986559
176,0.00033924423154595216,0.9905307904302019
177,0.0003333300457435365,0.9908641204759454
178,0.0003258206190970038,0.9911899410950424
179,0.00031722555758589626,0.9915071666526283
180,0.0003112076812944465,0.9918183743339227
181,0.00030268554271897156,0.9921210598766417
182,0.0002990539046855581,0.9924201137813272
183,0.00029457323989699996,0.9927146870212242
184,0.0002831763784380337,0.9929978633996622
185,0.00026686257300259625,0.9932647259726648
186,0.00026262487770506763,0.9935273508503699
187,0.00025992917663708045,0.993787280027007
188,0.0002553213727013199,0.9940426013997083
189,0.00024872718451644636,0.9942913285842248
190,0.0002348683592625134,0.9945261969434873
191,0.00023055854289325662,0.9947567554863805
192,0.00022512876988799524,0.9949818842562685
193,0.0002199573672908007,0.9952018416235593
194,0.00021662613239478988,0.9954184677559541
195,0.0002096973950921324,0.9956281651510462
196,0.0002049016724412454,0.9958330668234875
197,0.00020304861488818195,0.9960361154383757
198,0.00019449578514941417,0.9962306112235251
199,0.00019055531106691465,0.996421166534592
200,0.00018545815299064137,0.9966066246875827
201,0.00017720124334242996,0.9967838259309251
202,0.00017252908619201675,0.9969563550171171
203,0.00016917632718139707,0.9971255313442985
204,0.00016745538421370512,0.9972929867285122
205,0.00016035684494091133,0.997453343573453
206,0.0001576583320771696,0.9976110019055302
207,0.00015240617459304825,0.9977634080801232
208,0.0001489078498489617,0.9979123159299722
209,0.00014615472237427873,0.9980584706523464
210,0.000144160139653298,0.9982026307919998
211,0.00012722753804235112,0.9983298583300422
212,0.00012068963655552506,0.9984505479665977
213,0.00011245860225809672,0.9985630065688558
214,0.00010868293035817456,0.9986716894992139
215,0.00010076436978592542,0.9987724538689998
216,9.654912504881703e-05,0.9988690029940487
217,9.113023641300319e-05,0.9989601332304617
218,8.843450063195806e-05,0.9990485677310937
219,8.493490872789434e-05,0.9991335026398216
220,8.371101860291097e-05,0.9992172136584245
221,7.378831952603418e-05,0.9992910019779505
222,6.716259971137619e-05,0.9993581645776619
223,6.635927896822507e-05,0.9994245238566302
224,6.23744050256529e-05,0.9994868982616558
225,5.284806771870209e-05,0.9995397463293745
