component,explained_variance_ratio,cumulative_explained_variance
235,4.713836164183557e-06,0.9999524979715803
236,4.567292039007806e-06,0.9999570652636193
237,4.314873829358657e-06,0.9999613801374486
238,4.161810511671168e-06,0.9999655419479603
239,3.98819327588918e-06,0.9999695301412361
240,3.886036501137893e-06,0.9999734161777373
241,3.48917409770931e-06,0.999976905351835
242,3.0640582025950917e-06,0.9999799694100376
243,2.8606732956766436e-06,0.9999828300833333
244,2.3633205711712337e-06,0.9999851934039045
245,1.680490579358291e-06,0.9999868738944838
246,1.5143754126995436e-06,0.9999883882698966
247,1.3718046874028926e-06,0.999989760074584
248,1.1931273014744542e-06,0.9999909532018855
249,1.1590181334363186e-06,0.9999921122200189
250,1.1283067266130148e-06,0.9999932405267455
251,1.0500827487164965e-06,0.9999942906094943
252,9.813996091169505e-07,0.9999952720091034
253,9.29218747432356e-07,0.9999962012278508
254,8.906748009433958e-07,0.9999970919026517
255,3.654774709204291e-07,0.9999974573801227
256,3.3610165727151654e-07,0.99999779348178
257,2.992187148341522e-07,0.9999980927004948
258,2.3934916543461634e-07,0.9999983320496603
259,1.8649798809681948e-07,0.9999985185476483
260,1.7705788801613398e-07,0.9999986956055363
261,1.7057340289532508e-07,0.9999988661789392
262,1.6101030471092844e-07,0.9999990271892439
263,1.571681527954996e-07,0.9999991843573968
264,1.4775708117883398e-07,0.9999993321144779
265,1.459937472082086e-07,0.9999994781082251
266,1.431774978784425e-07,0.999999621285723
267,1.2616906239292539e-07,0.9999997474547854
268,1.193615618520866e-07,0.9999998668163472
269,1.0971050862944965e-07,0.9999999765268559
270,2.347314424430447e-08,1.0000000000000002
271,8.537222315322179e-31,1.0000000000000002
272,8.154588726046272e-31,1.0000000000000002
273,7.706114248964194e-31,1.0000000000000002
274,7.092775294969201e-31,1.0000000000000002
275,5.790629577973643e-31,1.0000000000000002
276,5.7481582145405825e-31,1.0000000000000002
277,5.426496033991919e-31,1.0000000000000002
278,4.92720655412543e-31,1.0000000000000002
279,4.10752173631079e-31,1.0000000000000002
280,3.2664242038145366e-31,1.0000000000000002
281,1.2988624690279357e-32,1.0000000000000002
282,6.847652636731035e-33,1.0000000000000002
283,6.16465416265507e-33,1.0000000000000002
284,5.4627437749949966e-33,1.0000000000000002
285,3.975868979071391e-33,1.0000000000000002
286,2.544803996235965e-33,1.0000000000000002
287,1.4809066005431566e-33,1.0000000000000002
288,1.4809066005431566e-33,1.0000000000000002
289,1.4809066005431566e-33,1.0000000000000002
290,1.4809066005431566e-33,1.0000000000000002
291,1.4809066005431566e-33,1.0000000000000002
292,1.4809066005431566e-33,1.0000000000000002
293,1.4809066005431566e-33,1.0000000000000002
294,1.4809066005431566e-33,1.0000000000000002
295,1.4809066005431566e-33,1.0000000000000002
296,1.4809066005431566e-33,1.0000000000000002
297,1.4809066005431566e-33,1.0000000000000002
298,1.4809066005431566e-33,1.0000000000000002
299,1.4809066005431566e-33,1.0000000000000002
300,1.4809066005431566e-33,1.0000000000000002
301,1.4809066005431566e-33,1.0000000000000002
302,1.4809066005431566e-33,1.0000000000000002
303,1.4809066005431566e-33,1.0000000000000002
304,1.4809066005431566e-33,1.0000000000000002
305,1.4809066005431566e-33,1.0000000000000002
306,1.4809066005431566e-33,1.0000000000000002
307,1.4809066005431566e-33,1.0000000000000002
308,1.4809066005431566e-33,1.0000000000000002
309,1.4809066005431566e-33,1.0000000000000002
310,1.4809066005431566e-33,1.0000000000000002
311,1.4809066005431566e-33,1.0000000000000002
312,1.4809066005431566e-33,1.0000000000000002
313,1.4809066005431566e-33,1.0000000000000002
314,1.4809066005431566e-33,1.0000000000000002
315,1.4809066005431566e-33,1.0000000000000002
316,1.4809066005431566e-33,1.0000000000000002
317,1.4809066005431566e-33,1.0000000000000002
318,1.4809066005431566e-33,1.0000000000000002
319,1.4809066005431566e-33,1.0000000000000002
320,1.4809066005431566e-33,1.0000000000000002
321,1.4809066005431566e-33,1.0000000000000002
322,1.4809066005431566e-33,1.0000000000000002
323,1.4809066005431566e-33,1.0000000000000002
324,1.4809066005431566e-33,1.0000000000000002
325,1.4809066005431566e-33,1.0000000000000002
326,1.4809066005431566e-33,1.0000000000000002
327,1.4809066005431566e-33,1.0000000000000002
328,1.4809066005431566e-33,1.0000000000000002
329,1.4809066005431566e-33,1.0000000000000002
330,1.4809066005431566e-33,1.0000000000000002
331,1.4809066005431566e-33,1.0000000000000002
332,1.4809066005431566e-33,1.0000000000000002
333,1.4809066005431566e-33,1.0000000000000002
334,1.4809066005431566e-33,1.0000000000000002
335,1.4809066005431566e-33,1.0000000000000002
336,9.0840157514136e-34,1.0000000000000002
337,6.992074927694364e-34,1.0000000000000002
338,5.515987501289614e-34,1.0000000000000002
339,1.2046376730809375e-34,1.0000000000000002
340,5.34291408862721e-35,1.0000000000000002
