city,feature_group,window_months,n_features,mean_abs_pearson_corr,median_abs_pearson_corr,max_abs_pearson_corr,top_feature,top_feature_pearson_corr,top_feature_abs_pearson_corr
sj,precipitation,4,1,0.1793904738054101,0.1793904738054101,0.1793904738054101,precipitation_amt_mm,0.1793904738054101,0.1793904738054101
sj,precipitation,5,1,0.1607744105278697,0.1607744105278697,0.1607744105278697,precipitation_amt_mm,0.1607744105278697,0.1607744105278697
sj,precipitation,6,1,0.11383139244534532,0.11383139244534532,0.11383139244534532,precipitation_amt_mm,0.11383139244534532,0.11383139244534532
sj,precipitation,7,1,0.04517852244343529,0.04517852244343529,0.04517852244343529,precipitation_amt_mm,0.04517852244343529,0.04517852244343529
sj,precipitation,8,1,0.0522758688386767,0.0522758688386767,0.0522758688386767,precipitation_amt_mm,-0.0522758688386767,0.0522758688386767
sj,precipitation,9,1,0.1500452794988896,0.1500452794988896,0.1500452794988896,precipitation_amt_mm,-0.1500452794988896,0.1500452794988896
sj,precipitation,10,1,0.22677062708252646,0.22677062708252646,0.22677062708252646,precipitation_amt_mm,-0.22677062708252646,0.22677062708252646
sj,precipitation,11,1,0.27481202778533453,0.27481202778533453,0.27481202778533453,precipitation_amt_mm,-0.27481202778533453,0.27481202778533453
sj,precipitation,12,1,0.28551111534113177,0.28551111534113177,0.28551111534113177,precipitation_amt_mm,-0.28551111534113177,0.28551111534113177
sj,precipitation,13,1,0.25514623190134555,0.25514623190134555,0.25514623190134555,precipitation_amt_mm,-0.25514623190134555,0.25514623190134555
sj,precipitation,14,1,0.21796319712202408,0.21796319712202408,0.21796319712202408,precipitation_amt_mm,-0.21796319712202408,0.21796319712202408
sj,reanalysis,1,10,0.18372530360101597,0.19301362318726134,0.21875524771009777,reanalysis_specific_humidity_g_per_kg,0.21875524771009777,0.21875524771009777
sj,reanalysis,2,10,0.233302368752555,0.24613436718606096,0.27690142911304194,reanalysis_specific_humidity_g_per_kg,0.27690142911304194,0.27690142911304194
sj,reanalysis,3,10,0.26438351985456776,0.28876139481259044,0.3192208228491487,reanalysis_dew_point_temp_k,0.3192208228491487,0.3192208228491487
sj,reanalysis,4,10,0.2774484921083764,0.30859570642878453,0.342035018449368,reanalysis_dew_point_temp_k,0.342035018449368,0.342035018449368
sj,reanalysis,5,10,0.27203187918135807,0.3060391320461714,0.345546893612529,reanalysis_dew_point_temp_k,0.345546893612529,0.345546893612529
sj,reanalysis,6,10,0.24525850047351566,0.2784306347320372,0.3261831433201957,reanalysis_dew_point_temp_k,0.3261831433201957,0.3261831433201957
sj,reanalysis,7,10,0.1961508858450764,0.22534700612424577,0.27658074172156066,reanalysis_dew_point_temp_k,0.27658074172156066,0.27658074172156066
sj,reanalysis,8,10,0.14268533540672723,0.16287386730626582,0.20729987441574438,reanalysis_dew_point_temp_k,0.20729987441574438,0.20729987441574438
sj,reanalysis,9,10,0.09862431155867765,0.105864090630082,0.1500452794988896,reanalysis_sat_precip_amt_mm,-0.1500452794988896,0.1500452794988896
sj,reanalysis,10,10,0.06514493616121228,0.04640998305671515,0.22677062708252646,reanalysis_sat_precip_amt_mm,-0.22677062708252646,0.22677062708252646
sj,reanalysis,11,10,0.06329252982352969,0.034159540867757465,0.27481202778533453,reanalysis_sat_precip_amt_mm,-0.27481202778533453,0.27481202778533453
sj,reanalysis,12,10,0.06627545302173919,0.027727042926875473,0.28551111534113177,reanalysis_sat_precip_amt_mm,-0.28551111534113177,0.28551111534113177
sj,reanalysis,13,10,0.08527195001574185,0.0751932318473454,0.25514623190134555,reanalysis_sat_precip_amt_mm,-0.25514623190134555,0.25514623190134555
sj,reanalysis,14,10,0.12402616972682674,0.13946603935588592,0.21796319712202408,reanalysis_sat_precip_amt_mm,-0.21796319712202408,0.21796319712202408
sj,station,1,5,0.1545876511888458,0.19918146873572445,0.21770320470535925,station_max_temp_c,0.21770320470535925,0.21770320470535925
sj,station,2,5,0.20314766034891102,0.28493997211345967,0.29022199095583184,station_min_temp_c,0.29022199095583184,0.29022199095583184
sj,station,3,5,0.23650203500331615,0.3496399081230047,0.3578280936997105,station_min_temp_c,0.3578280936997105,0.3578280936997105
sj,station,4,5,0.26114566113811866,0.3969561348957753,0.40556799905367985,station_min_temp_c,0.40556799905367985,0.40556799905367985
sj,station,5,5,0.2801451222539521,0.4282434969079331,0.4418752917490892,station_max_temp_c,0.4418752917490892,0.4418752917490892
sj,station,6,5,0.2879513408177129,0.4341826687342443,0.4653136167534104,station_max_temp_c,0.4653136167534104,0.4653136167534104
sj,station,7,5,0.2973225310196701,0.40602572843047496,0.45799807711673046,station_max_temp_c,0.45799807711673046,0.45799807711673046
sj,station,8,5,0.29667998386229977,0.3572263644015882,0.4279155029363358,station_max_temp_c,0.4279155029363358,0.4279155029363358
sj,station,9,5,0.28193298198384015,0.29656531818528103,0.3774725805286822,station_max_temp_c,0.3774725805286822,0.3774725805286822
sj,station,10,5,0.2557672044583188,0.23347694969013008,0.3181999515774984,station_max_temp_c,0.3181999515774984,0.3181999515774984
sj,station,11,5,0.23769523345840313,0.23284603307474894,0.28067870669361605,station_max_temp_c,0.28067870669361605,0.28067870669361605
sj,station,12,5,0.23723407753041642,0.23075916630275523,0.2696798043738661,station_max_temp_c,0.2696798043738661,0.2696798043738661
sj,station,13,5,0.2488029615691433,0.23527799571611754,0.2971851834449858,station_avg_temp_c,0.2971851834449858,0.2971851834449858
sj,station,14,5,0.2674383092597516,0.2834450389819759,0.3437854226467502,station_avg_temp_c,0.3437854226467502,0.3437854226467502
