city,recent_score_weight,max_city_all_year_mae_over_best,selected_iteration,model_type,all_year_mae,recent_mae,selection_mae,best_city_all_year_mae,all_year_mae_gap,allowed_candidate_count
sj,0.45,0.2,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,19.8328125,22.44951923076923,0.0,4
sj,0.6,0.2,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,18.96057692307692,22.44951923076923,0.0,4
sj,0.0,0.35,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,22.44951923076923,22.44951923076923,0.0,7
sj,0.15,0.35,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,21.577283653846152,22.44951923076923,0.0,7
sj,0.3,0.35,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,20.705048076923077,22.44951923076923,0.0,7
sj,0.45,0.35,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,19.8328125,22.44951923076923,0.0,7
sj,0.6,0.35,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,18.96057692307692,22.44951923076923,0.0,7
sj,0.0,0.75,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,22.44951923076923,22.44951923076923,0.0,12
sj,0.15,0.75,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,21.577283653846152,22.44951923076923,0.0,12
sj,0.3,0.75,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,20.705048076923077,22.44951923076923,0.0,12
sj,0.45,0.75,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,19.8328125,22.44951923076923,0.0,12
sj,0.6,0.75,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,18.96057692307692,22.44951923076923,0.0,12
sj,0.0,inf,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,22.44951923076923,22.44951923076923,0.0,47
sj,0.15,inf,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,21.577283653846152,22.44951923076923,0.0,47
sj,0.3,inf,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,20.705048076923077,22.44951923076923,0.0,47
sj,0.45,inf,a38_recent4_calendar_lgbm_l1_harmonic2_more_regularized,lgbm_calendar_recent_window,23.390625,14.567307692307692,19.420132211538462,22.44951923076923,0.94110576923077,47
sj,0.6,inf,a38_recent4_calendar_lgbm_l1_harmonic2_more_regularized,lgbm_calendar_recent_window,23.390625,14.567307692307692,18.096634615384616,22.44951923076923,0.94110576923077,47
