city,trial_number,state,mae,objective,n_estimators,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,tweedie_variance_power,subsample_freq,random_state,verbose
iq,2,COMPLETE,9.096153846153847,tweedie,400,0.0183234024502698,41,15,0.7168578594140872,0.7465447373174766,0.013901420350545918,0.8431013932082458,1.239771647510852,1,42,-1
iq,3,COMPLETE,10.579326923076923,tweedie,450,0.034277067939409996,9,51,0.6682096494749166,0.6260206371941118,2.8759721562259606,6.732248920775334,1.6658781436815229,1,42,-1
iq,4,COMPLETE,11.09375,tweedie,300,0.01225199210177624,46,38,0.6488152939379115,0.798070764044508,0.00014507434860119788,3.520481045526035,1.281145987120012,1,42,-1
iq,5,COMPLETE,10.403846153846153,tweedie,550,0.019120672003192066,36,46,0.6739417822102108,0.9878338511058234,0.4388598863942792,4.983043837494905,1.7263791452993542,1,42,-1
iq,6,COMPLETE,11.639423076923077,tweedie,500,0.06800414597277955,12,19,0.6180909155642152,0.7301321323053057,0.006704755197530222,0.002273762810253686,1.6801162564063505,1,42,-1
iq,7,COMPLETE,8.92548076923077,tweedie,350,0.01793532053620138,37,15,0.9208787923016158,0.6298202574719083,4.338624983446463,0.7264803074826723,1.2391009770739208,1,42,-1
iq,8,COMPLETE,10.305288461538462,tweedie,100,0.05450483770507908,47,60,0.9085081386743783,0.6296178606936361,0.0048352585996829555,0.00037961668958008145,1.7041723981129155,1,42,-1
iq,9,COMPLETE,9.516826923076923,tweedie,550,0.019898974384450128,10,28,0.7300733288106988,0.8918424713352257,0.09905204218383895,2.7293781650374735,1.4305504476133646,1,42,-1
iq,10,COMPLETE,9.189903846153847,tweedie,800,0.033578606341688494,26,6,0.9902173701155406,0.8569379936612884,3.2891730420189633,0.0921510563733697,1.1363903343942146,1,42,-1
iq,11,COMPLETE,9.026442307692307,tweedie,200,0.01792884887545485,31,6,0.8051818846450084,0.7448209034956986,0.06365862002901858,0.28148296482457225,1.2092764339915465,1,42,-1
iq,12,COMPLETE,8.939903846153847,tweedie,200,0.026368154074976304,27,5,0.8131176847476872,0.7289410623098385,0.19712513507106447,0.19865987140142066,1.103794881282011,1,42,-1
iq,13,COMPLETE,9.146634615384617,tweedie,200,0.029133292754445695,22,24,0.8388559267105359,0.6978753170579768,0.526006319291457,0.03366039756374061,1.1128957805691935,1,42,-1
iq,14,COMPLETE,10.021634615384615,tweedie,250,0.027909198021807385,20,80,0.9046538722216176,0.6091148496987477,0.6270800595793768,0.030069007536892216,1.340004598552841,1,42,-1
iq,15,COMPLETE,8.115384615384615,tweedie,100,0.01443942114848753,32,33,0.7931080306212451,0.82200837904202,0.10199306820743484,0.22528159538097453,1.33941181028655,1,42,-1
iq,16,COMPLETE,7.944711538461538,tweedie,100,0.01367266402253109,57,34,0.9801126229035303,0.9787219705654253,0.03206986466928405,0.5880791739306211,1.3582906153332301,1,42,-1
iq,17,COMPLETE,8.110576923076923,tweedie,100,0.01314915560497126,61,35,0.7674170892611085,0.9993900424699126,0.02579055205352396,0.047856146969902084,1.3836766223072399,1,42,-1
iq,18,COMPLETE,7.939903846153847,tweedie,100,0.013552562549194362,63,40,0.9810719665944272,0.9952407371998658,0.024180213956634614,0.011008323107692456,1.5284707630485503,1,42,-1
iq,19,COMPLETE,8.040865384615385,tweedie,150,0.010258129955508895,55,40,0.9949309128323497,0.938397647880919,0.0016440825052774465,0.00575539577853558,1.5560506651042008,1,42,-1
