city,feature_group,window_weeks,n_features,mean_abs_pearson_corr,median_abs_pearson_corr,max_abs_pearson_corr,top_feature,top_feature_pearson_corr,top_feature_abs_pearson_corr
iq,precipitation,8,1,0.1481228265122331,0.1481228265122331,0.1481228265122331,precipitation_amt_mm,0.1481228265122331,0.1481228265122331
iq,precipitation,9,1,0.13501354219973066,0.13501354219973066,0.13501354219973066,precipitation_amt_mm,0.13501354219973066,0.13501354219973066
iq,precipitation,10,1,0.12327931868273405,0.12327931868273405,0.12327931868273405,precipitation_amt_mm,0.12327931868273405,0.12327931868273405
iq,precipitation,11,1,0.10925059739301186,0.10925059739301186,0.10925059739301186,precipitation_amt_mm,0.10925059739301186,0.10925059739301186
iq,precipitation,12,1,0.0945649978769526,0.0945649978769526,0.0945649978769526,precipitation_amt_mm,0.0945649978769526,0.0945649978769526
iq,precipitation,13,1,0.07668587205278755,0.07668587205278755,0.07668587205278755,precipitation_amt_mm,0.07668587205278755,0.07668587205278755
iq,precipitation,14,1,0.060891318211647665,0.060891318211647665,0.060891318211647665,precipitation_amt_mm,0.060891318211647665,0.060891318211647665
iq,reanalysis,1,10,0.13595522231697849,0.11531814904058686,0.2352176889087021,reanalysis_specific_humidity_g_per_kg,0.2352176889087021,0.2352176889087021
iq,reanalysis,2,10,0.1455735152601766,0.12351572131027605,0.2503596211952918,reanalysis_specific_humidity_g_per_kg,0.2503596211952918,0.2503596211952918
iq,reanalysis,3,10,0.154207194080501,0.13113159961930332,0.25675301485665286,reanalysis_specific_humidity_g_per_kg,0.25675301485665286,0.25675301485665286
iq,reanalysis,4,10,0.15874269099992702,0.1349744354025742,0.2585068973007409,reanalysis_specific_humidity_g_per_kg,0.2585068973007409,0.2585068973007409
iq,reanalysis,5,10,0.15677910113550564,0.13350931279470257,0.25627124561849374,reanalysis_min_air_temp_k,0.25627124561849374,0.25627124561849374
iq,reanalysis,6,10,0.15743604312207868,0.14313955607504225,0.2616343523579084,reanalysis_min_air_temp_k,0.2616343523579084,0.2616343523579084
iq,reanalysis,7,10,0.15610209187642787,0.15366725776009044,0.26060968894701003,reanalysis_min_air_temp_k,0.26060968894701003,0.26060968894701003
iq,reanalysis,8,10,0.1543490262804131,0.1524532479153285,0.2589914254862054,reanalysis_min_air_temp_k,0.2589914254862054,0.2589914254862054
iq,reanalysis,9,10,0.15240542671600013,0.14926230474680036,0.2580801541881262,reanalysis_min_air_temp_k,0.2580801541881262,0.2580801541881262
iq,reanalysis,10,10,0.1506708021231879,0.14816396947397653,0.2570939772371881,reanalysis_min_air_temp_k,0.2570939772371881,0.2570939772371881
iq,reanalysis,11,10,0.14756612387029805,0.1461050106320099,0.2504307861905779,reanalysis_min_air_temp_k,0.2504307861905779,0.2504307861905779
iq,reanalysis,12,10,0.14305199377610478,0.14486255924259817,0.2411337274918955,reanalysis_min_air_temp_k,0.2411337274918955,0.2411337274918955
iq,reanalysis,13,10,0.13813014731470014,0.1432702286182492,0.23019091953923623,reanalysis_min_air_temp_k,0.23019091953923623,0.23019091953923623
iq,reanalysis,14,10,0.13213346206148996,0.14667679590059965,0.21932032539907356,reanalysis_min_air_temp_k,0.21932032539907356,0.21932032539907356
iq,station,1,5,0.09963456020009202,0.07666467136361997,0.20681680955730247,station_min_temp_c,0.20681680955730247,0.20681680955730247
iq,station,2,5,0.11930356470891379,0.0957499155715437,0.24134954871213263,station_min_temp_c,0.24134954871213263,0.24134954871213263
iq,station,3,5,0.13410713950811054,0.10760789601062566,0.25380422364795197,station_min_temp_c,0.25380422364795197,0.25380422364795197
iq,station,4,5,0.1478288122524147,0.13059077912974876,0.2575030662204318,station_min_temp_c,0.2575030662204318,0.2575030662204318
iq,station,5,5,0.15283625825555708,0.1441910710183521,0.2536902014814202,station_min_temp_c,0.2536902014814202,0.2536902014814202
iq,station,6,5,0.15635083098905192,0.15733365948796335,0.2478293222510233,station_min_temp_c,0.2478293222510233,0.2478293222510233
iq,station,7,5,0.15950125540533283,0.17272660428261657,0.24162589515807162,station_min_temp_c,0.24162589515807162,0.24162589515807162
iq,station,8,5,0.15987451123919713,0.18143911335814233,0.2301878819895745,station_min_temp_c,0.2301878819895745,0.2301878819895745
iq,station,9,5,0.1583349663406027,0.18348624663977692,0.22341806009018658,station_avg_temp_c,0.22341806009018658,0.22341806009018658
iq,station,10,5,0.1567845036794791,0.18566594892685118,0.2251520121433191,station_avg_temp_c,0.2251520121433191,0.2251520121433191
iq,station,11,5,0.15373409631917775,0.1876290154494749,0.22505131713889343,station_avg_temp_c,0.22505131713889343,0.22505131713889343
iq,station,12,5,0.14777925150863472,0.1716013895876003,0.22095319258365295,station_avg_temp_c,0.22095319258365295,0.22095319258365295
iq,station,13,5,0.1415685664181378,0.1614358049456271,0.21528080646497852,station_avg_temp_c,0.21528080646497852,0.21528080646497852
iq,station,14,5,0.1343524463951805,0.153999045575792,0.20631186851989922,station_avg_temp_c,0.20631186851989922,0.20631186851989922
sj,ndvi,1,4,0.05491783714149866,0.045541267032094226,0.0859184480966163,ndvi_ne,0.0859184480966163,0.0859184480966163
sj,ndvi,2,4,0.06849955419835928,0.06027678397381911,0.09673332579112578,ndvi_ne,0.09673332579112578,0.09673332579112578
sj,ndvi,3,4,0.07600404040839964,0.07125614144297608,0.10134394071851069,ndvi_ne,0.10134394071851069,0.10134394071851069
sj,ndvi,4,4,0.08091474961846444,0.0792459770675065,0.10213813663472585,ndvi_ne,0.10213813663472585,0.10213813663472585
sj,ndvi,5,4,0.08473101461780563,0.08462808080430927,0.10442766270420277,ndvi_se,-0.10442766270420277,0.10442766270420277
sj,ndvi,6,4,0.08752031742158933,0.0859401585208308,0.11121606093760561,ndvi_se,-0.11121606093760561,0.11121606093760561
sj,ndvi,7,4,0.09004768585834268,0.08654272239504557,0.11728188492318932,ndvi_se,-0.11728188492318932,0.11728188492318932
sj,ndvi,8,4,0.09261417854477957,0.08787071652188658,0.12519229325123427,ndvi_se,-0.12519229325123427,0.12519229325123427
sj,ndvi,9,4,0.09516369597643087,0.09039883309516045,0.13092422452968663,ndvi_se,-0.13092422452968663,0.13092422452968663
sj,ndvi,10,4,0.09722213307581357,0.0931106721216498,0.1353798005604359,ndvi_se,-0.1353798005604359,0.1353798005604359
sj,ndvi,11,4,0.09889478121268225,0.09591825162825343,0.14010983047790287,ndvi_se,-0.14010983047790287,0.14010983047790287
sj,ndvi,12,4,0.1001030091714224,0.09846158895216321,0.1451819196615665,ndvi_se,-0.1451819196615665,0.1451819196615665
sj,ndvi,13,4,0.10058100323392055,0.10015695749213013,0.15218327022398598,ndvi_se,-0.15218327022398598,0.15218327022398598
sj,ndvi,14,4,0.1004834230433616,0.10171431672032905,0.15889249786127987,ndvi_se,-0.15889249786127987,0.15889249786127987
sj,precipitation,1,1,0.06029554049239995,0.06029554049239995,0.06029554049239995,precipitation_amt_mm,0.06029554049239995,0.06029554049239995
sj,precipitation,2,1,0.09036206421448607,0.09036206421448607,0.09036206421448607,precipitation_amt_mm,0.09036206421448607,0.09036206421448607
sj,precipitation,3,1,0.11481301629106494,0.11481301629106494,0.11481301629106494,precipitation_amt_mm,0.11481301629106494,0.11481301629106494
sj,precipitation,4,1,0.12844440264729962,0.12844440264729962,0.12844440264729962,precipitation_amt_mm,0.12844440264729962,0.12844440264729962
sj,precipitation,5,1,0.1372549517840077,0.1372549517840077,0.1372549517840077,precipitation_amt_mm,0.1372549517840077,0.1372549517840077
sj,precipitation,6,1,0.1439902283641902,0.1439902283641902,0.1439902283641902,precipitation_amt_mm,0.1439902283641902,0.1439902283641902
sj,precipitation,7,1,0.15081599610365867,0.15081599610365867,0.15081599610365867,precipitation_amt_mm,0.15081599610365867,0.15081599610365867
sj,precipitation,8,1,0.15500653714501617,0.15500653714501617,0.15500653714501617,precipitation_amt_mm,0.15500653714501617,0.15500653714501617
sj,precipitation,9,1,0.1589728187321423,0.1589728187321423,0.1589728187321423,precipitation_amt_mm,0.1589728187321423,0.1589728187321423
sj,precipitation,10,1,0.1621102796388172,0.1621102796388172,0.1621102796388172,precipitation_amt_mm,0.1621102796388172,0.1621102796388172
sj,precipitation,11,1,0.16382030078859774,0.16382030078859774,0.16382030078859774,precipitation_amt_mm,0.16382030078859774,0.16382030078859774
sj,precipitation,12,1,0.16513076297581664,0.16513076297581664,0.16513076297581664,precipitation_amt_mm,0.16513076297581664,0.16513076297581664
sj,precipitation,13,1,0.1655710371089516,0.1655710371089516,0.1655710371089516,precipitation_amt_mm,0.1655710371089516,0.1655710371089516
sj,precipitation,14,1,0.1642883773222899,0.1642883773222899,0.1642883773222899,precipitation_amt_mm,0.1642883773222899,0.1642883773222899
sj,reanalysis,1,10,0.15227625938890194,0.17699049020635765,0.20694226155744558,reanalysis_specific_humidity_g_per_kg,0.20694226155744558,0.20694226155744558
sj,reanalysis,2,10,0.1739622783215114,0.19349119605154508,0.2243539445755737,reanalysis_specific_humidity_g_per_kg,0.2243539445755737,0.2243539445755737
sj,reanalysis,3,10,0.1917376492248611,0.20766741498981017,0.23948244512093858,reanalysis_specific_humidity_g_per_kg,0.23948244512093858,0.23948244512093858
sj,reanalysis,4,10,0.20573831698086248,0.22202778144759575,0.2532479021514098,reanalysis_specific_humidity_g_per_kg,0.2532479021514098,0.2532479021514098
sj,reanalysis,5,10,0.21722414908708618,0.2358371532845766,0.2654307646957905,reanalysis_specific_humidity_g_per_kg,0.2654307646957905,0.2654307646957905
sj,reanalysis,6,10,0.22693643593525165,0.2487331135490768,0.2763694588300557,reanalysis_specific_humidity_g_per_kg,0.2763694588300557,0.2763694588300557
