iteration,model_type,city,validation_year,train_rows,validation_rows,mae
a06_week_median_profile_pm1,week_profile,iq,all,,416,7.233173076923077
a07_week_median_profile_pm2,week_profile,iq,all,,416,7.235576923076923
a28_recent7_calendar_lgbm_l1_harmonic3,lgbm_calendar_recent_window,iq,all,,416,7.237980769230769
a20_recent8_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,iq,all,,416,7.25
a26_recent3_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,iq,all,,416,7.25
a15_recent7_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,iq,all,,416,7.2548076923076925
a09_calendar_lgbm_pm1_median_blend,blend,iq,all,,416,7.257211538461538
a05_week_mean_profile,week_profile,iq,all,,416,7.269230769230769
a13_recent8_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,iq,all,,416,7.271634615384615
a12_calendar_lgbm_l1_recent_weighted_curved,lgbm_calendar_recent_weighted,iq,all,,416,7.2860576923076925
a30_recent3_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,iq,all,,416,7.290865384615385
a04_week_median_profile,week_profile,iq,all,,416,7.360576923076923
a08_recent5_week_median_profile,week_profile,iq,all,,416,7.391826923076923
a03_calendar_lgbm_l1_with_year_index,lgbm_calendar_year_index,iq,all,,416,8.625
a47_sj_quantile_lgbm_frontier_blend,blend,sj,all,,832,22.41346153846154
a50_sj_quantile_lgbm_frontier_blend_quantile_tilt,blend,sj,all,,832,22.439903846153847
a51_sj_quantile_lgbm_frontier_blend_lgbm_tilt,blend,sj,all,,832,22.443509615384617
a37_recent7_calendar_lgbm_l1_harmonic2_more_regularized,lgbm_calendar_recent_window,sj,all,,832,22.48076923076923
a39_recent7_calendar_quantile_harmonic2,quantile_calendar_recent_window,sj,all,,832,22.515625
a32_recent7_calendar_lgbm_l1_harmonic2_regularized,lgbm_calendar_recent_window,sj,all,,832,22.66466346153846
a24_recent7_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,sj,all,,832,22.765625
a28_recent7_calendar_lgbm_l1_harmonic3,lgbm_calendar_recent_window,sj,all,,832,22.766826923076923
a15_recent7_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,sj,all,,832,22.86778846153846
a34_recent7_calendar_rf_abs_harmonic2,rf_calendar_recent_window,sj,all,,832,23.11298076923077
a17_recent10_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,sj,all,,832,23.151442307692307
a20_recent8_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,sj,all,,832,23.200721153846153
a13_recent8_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,sj,all,,832,23.263221153846153
a16_recent9_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,sj,all,,832,23.27403846153846
a40_recent4_calendar_quantile_harmonic2,quantile_calendar_recent_window,sj,all,,832,23.354567307692307
a38_recent4_calendar_lgbm_l1_harmonic2_more_regularized,lgbm_calendar_recent_window,sj,all,,832,23.396634615384617
a23_recent6_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,sj,all,,832,23.42908653846154
a10_calendar_lgbm_l1_recent_weighted_soft,lgbm_calendar_recent_weighted,sj,all,,832,23.48798076923077
a14_recent6_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,sj,all,,832,23.55048076923077
a18_recent12_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,sj,all,,832,23.620192307692307
a19_calendar_lgbm_l1_harmonic2,lgbm_calendar,sj,all,,832,23.657451923076923
a31_recent4_calendar_lgbm_l1_harmonic3,lgbm_calendar_recent_window,sj,all,,832,23.66466346153846
a33_recent4_calendar_lgbm_l1_harmonic2_regularized,lgbm_calendar_recent_window,sj,all,,832,23.723557692307693
a01_calendar_lgbm_l1_raw,lgbm_calendar,sj,all,,832,23.735576923076923
a02_calendar_lgbm_l1_recent_weighted,lgbm_calendar_recent_weighted,sj,all,,832,23.80408653846154
a09_calendar_lgbm_pm1_median_blend,blend,sj,all,,832,23.80408653846154
a35_recent4_calendar_rf_abs_harmonic2,rf_calendar_recent_window,sj,all,,832,23.813701923076923
a27_recent4_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,sj,all,,832,23.825721153846153
a07_week_median_profile_pm2,week_profile,sj,all,,832,23.842548076923077
a06_week_median_profile_pm1,week_profile,sj,all,,832,23.89423076923077
a21_recent4_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,sj,all,,832,23.948317307692307
a22_recent5_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,sj,all,,832,23.948317307692307
a48_iq_lgbm_rf_frontier_blend_recent_tilt,blend,sj,all,,832,24.026442307692307
a04_week_median_profile,week_profile,sj,all,,832,24.060096153846153
a12_calendar_lgbm_l1_recent_weighted_curved,lgbm_calendar_recent_weighted,sj,all,,832,24.14423076923077
a30_recent3_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,sj,all,,832,24.192307692307693
a11_calendar_lgbm_l1_recent_weighted_strong,lgbm_calendar_recent_weighted,sj,all,,832,24.19951923076923
a26_recent3_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,sj,all,,832,24.317307692307693
a46_iq_lgbm_rf_frontier_blend,blend,sj,all,,832,24.358173076923077
a08_recent5_week_median_profile,week_profile,sj,all,,832,24.385817307692307
a45_iq_lgbm_frontier_blend,blend,sj,all,,832,24.765625
a49_iq_lgbm_rf_frontier_blend_short_tilt,blend,sj,all,,832,24.814903846153847
a29_recent2_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,sj,all,,832,26.61658653846154
a25_recent2_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,sj,all,,832,27.532451923076923
a44_recent4_calendar_negbin_glm_harmonic2,glm_negbin_calendar_recent_window,sj,all,,832,28.266826923076923
a42_recent4_calendar_poisson_glm_harmonic2,glm_poisson_calendar_recent_window,sj,all,,832,28.490384615384617
a43_recent7_calendar_negbin_glm_harmonic2,glm_negbin_calendar_recent_window,sj,all,,832,28.984375
a41_recent7_calendar_poisson_glm_harmonic2,glm_poisson_calendar_recent_window,sj,all,,832,29.063701923076923
a36_recent2_calendar_rf_abs_harmonic2,rf_calendar_recent_window,sj,all,,832,29.957932692307693
a05_week_mean_profile,week_profile,sj,all,,832,31.520432692307693
a03_calendar_lgbm_l1_with_year_index,lgbm_calendar_year_index,sj,all,,832,31.911057692307693
