number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_fold_1_mae,user_attrs_fold_1_year,user_attrs_fold_2_mae,user_attrs_fold_2_year,user_attrs_fold_3_mae,user_attrs_fold_3_year,user_attrs_fold_4_mae,user_attrs_fold_4_year,user_attrs_fold_5_mae,user_attrs_fold_5_year,user_attrs_fold_6_mae,user_attrs_fold_6_year,user_attrs_fold_7_mae,user_attrs_fold_7_year,user_attrs_fold_8_mae,user_attrs_fold_8_year,state
22,5.161057583987713,2026-06-17 16:21:52.686491,2026-06-17 16:21:54.470916,0 days 00:00:01.784425,64,0.2843335730579937,128,0.0012040074757665687,2,24,0.0024498024669202044,0.26923078298568726,2001,12.673076629638672,2002.0,1.442307710647583,2003.0,6.634615421295166,2004.0,2.538461446762085,2005.0,4.730769157409668,2006.0,3.615384578704834,2007.0,9.384614944458008,2008.0,COMPLETE
23,0.3076923191547394,2026-06-17 16:21:54.478067,2026-06-17 16:21:54.582230,0 days 00:00:00.104163,64,0.21177213344526866,128,0.0011327724360536843,2,24,0.0021303392418769848,0.3076923191547394,2001,,,,,,,,,,,,,,,PRUNED
24,5.8437499441206455,2026-06-17 16:21:54.588324,2026-06-17 16:21:56.122702,0 days 00:00:01.534378,64,0.4288357705090084,128,0.0007129809721335043,2,24,0.002237415461218983,0.21153846383094788,2001,12.884614944458008,2002.0,1.4038461446762085,2003.0,7.846153736114502,2004.0,2.884615421295166,2005.0,4.865384578704834,2006.0,3.596153736114502,2007.0,13.057692527770996,2008.0,COMPLETE
25,6.173076935112476,2026-06-17 16:21:56.129820,2026-06-17 16:21:58.795706,0 days 00:00:02.665886,16,0.3613473697536187,128,0.0014022560019692023,2,4,0.0004749724127476376,0.26923078298568726,2001,13.057692527770996,2002.0,1.4807692766189575,2003.0,8.980769157409668,2004.0,3.307692289352417,2005.0,5.346153736114502,2006.0,3.923076868057251,2007.0,13.019230842590332,2008.0,COMPLETE
26,6.01923082023859,2026-06-17 16:21:58.802881,2026-06-17 16:22:00.747256,0 days 00:00:01.944375,64,0.3292912690610452,32,0.0008407758657594179,2,24,6.409727547666071e-05,0.26923078298568726,2001,13.538461685180664,2002.0,1.6538461446762085,2003.0,8.34615421295166,2004.0,2.692307710647583,2005.0,4.82692289352417,2006.0,3.557692289352417,2007.0,13.269230842590332,2008.0,COMPLETE
27,5.437499932944775,2026-06-17 16:22:00.754699,2026-06-17 16:22:02.298983,0 days 00:00:01.544284,64,0.2142361560126967,96,0.0017097235069183656,2,24,0.00018635261603113006,0.26923078298568726,2001,12.730769157409668,2002.0,1.384615421295166,2003.0,8.634614944458008,2004.0,2.826923131942749,2005.0,5.211538314819336,2006.0,3.442307710647583,2007.0,9.0,2008.0,COMPLETE
28,5.3894230127334595,2026-06-17 16:22:02.306220,2026-06-17 16:22:05.046127,0 days 00:00:02.739907,32,0.384395940102636,128,0.0005984782955460008,2,24,0.0017630397461038977,0.25,2001,12.769230842590332,2002.0,1.442307710647583,2003.0,7.096153736114502,2004.0,2.769230842590332,2005.0,4.82692289352417,2006.0,3.538461446762085,2007.0,10.423076629638672,2008.0,COMPLETE
29,5.7980770245194435,2026-06-17 16:22:05.053357,2026-06-17 16:22:10.060499,0 days 00:00:05.007142,16,0.29823377687481417,64,0.00040464921844975593,2,24,1.421565761713389e-05,0.26923078298568726,2001,12.807692527770996,2002.0,1.4038461446762085,2003.0,9.269230842590332,2004.0,2.634615421295166,2005.0,4.807692527770996,2006.0,3.903846263885498,2007.0,11.288461685180664,2008.0,COMPLETE
30,5.798077009618282,2026-06-17 16:22:10.067708,2026-06-17 16:22:11.826247,0 days 00:00:01.758539,32,0.3738480706351899,64,0.0037898458247349054,2,16,1.3635426926153286e-06,0.26923078298568726,2001,12.769230842590332,2002.0,1.423076868057251,2003.0,8.288461685180664,2004.0,2.692307710647583,2005.0,4.92307710647583,2006.0,3.692307710647583,2007.0,12.326923370361328,2008.0,COMPLETE
31,5.709134645760059,2026-06-17 16:22:11.833872,2026-06-17 16:22:13.990517,0 days 00:00:02.156645,32,0.3794736855133436,128,0.000622474390777937,2,24,0.002405405922197392,0.26923078298568726,2001,12.980769157409668,2002.0,1.4038461446762085,2003.0,6.903846263885498,2004.0,2.480769157409668,2005.0,4.807692527770996,2006.0,3.538461446762085,2007.0,13.288461685180664,2008.0,COMPLETE
32,5.3004807606339455,2026-06-17 16:22:13.997571,2026-06-17 16:22:17.124401,0 days 00:00:03.126830,32,0.4234231593297334,128,0.0005251127824762236,2,24,0.0008822271278561451,0.26923078298568726,2001,13.057692527770996,2002.0,1.4038461446762085,2003.0,7.096153736114502,2004.0,2.673076868057251,2005.0,4.865384578704834,2006.0,3.557692289352417,2007.0,9.480769157409668,2008.0,COMPLETE
33,0.5,2026-06-17 16:22:17.131676,2026-06-17 16:22:17.248767,0 days 00:00:00.117091,32,0.4278892615565655,128,0.0004714297216409988,2,24,0.0006336192422951182,0.5,2001,,,,,,,,,,,,,,,PRUNED
34,5.915865369141102,2026-06-17 16:22:17.254947,2026-06-17 16:22:19.079263,0 days 00:00:01.824316,32,0.3313336997231412,128,0.0010822861573072115,2,8,0.0010770323769417414,0.26923078298568726,2001,12.961538314819336,2002.0,1.4615384340286255,2003.0,8.288461685180664,2004.0,2.692307710647583,2005.0,4.653846263885498,2006.0,3.788461446762085,2007.0,13.211538314819336,2008.0,COMPLETE
35,5.769230805337429,2026-06-17 16:22:19.086365,2026-06-17 16:22:22.023709,0 days 00:00:02.937344,32,0.42651608637889105,96,0.0003505425139625378,2,24,0.0003602332735058094,0.26923078298568726,2001,13.15384578704834,2002.0,1.384615421295166,2003.0,6.634615421295166,2004.0,2.788461446762085,2005.0,4.903846263885498,2006.0,3.653846263885498,2007.0,13.365385055541992,2008.0,COMPLETE
36,6.098557688295841,2026-06-17 16:22:22.030839,2026-06-17 16:22:23.818903,0 days 00:00:01.788064,32,0.3119294677418664,128,0.0013169948281711564,1,4,0.00962176565505014,0.26923078298568726,2001,13.230769157409668,2002.0,1.4615384340286255,2003.0,8.826923370361328,2004.0,3.096153736114502,2005.0,5.192307472229004,2006.0,3.711538553237915,2007.0,13.0,2008.0,COMPLETE
37,0.2884615361690521,2026-06-17 16:22:23.826640,2026-06-17 16:22:24.022664,0 days 00:00:00.196024,16,0.006926262833791635,32,0.0002514184959561885,2,8,0.0043673172200834574,0.2884615361690521,2001,,,,,,,,,,,,,,,PRUNED
38,6.086538635194302,2026-06-17 16:22:24.028857,2026-06-17 16:22:25.757088,0 days 00:00:01.728231,64,0.09310621860216295,64,0.0007823739743165027,2,24,0.0001944217027520574,0.26923078298568726,2001,12.84615421295166,2002.0,1.384615421295166,2003.0,9.557692527770996,2004.0,2.826923131942749,2005.0,5.038461685180664,2006.0,3.653846263885498,2007.0,13.115385055541992,2008.0,COMPLETE
39,5.834134630858898,2026-06-17 16:22:25.764766,2026-06-17 16:22:27.004407,0 days 00:00:01.239641,64,0.34424753837735866,128,0.0023092818547129274,1,12,5.399955741851179e-05,0.26923078298568726,2001,13.038461685180664,2002.0,1.5,2003.0,7.442307472229004,2004.0,2.884615421295166,2005.0,4.92307710647583,2006.0,3.596153736114502,2007.0,13.019230842590332,2008.0,COMPLETE
40,5.646634601056576,2026-06-17 16:22:27.011614,2026-06-17 16:22:33.550604,0 days 00:00:06.538990,16,0.42306845122356795,32,0.0005247611046761853,2,24,0.0027941877170705805,0.26923078298568726,2001,13.538461685180664,2002.0,1.384615421295166,2003.0,8.211538314819336,2004.0,2.769230842590332,2005.0,5.384615421295166,2006.0,3.961538553237915,2007.0,9.65384578704834,2008.0,COMPLETE
41,5.2163461074233055,2026-06-17 16:22:33.557909,2026-06-17 16:22:36.679008,0 days 00:00:03.121099,32,0.3775106000634183,128,0.0006315198389704601,2,24,0.0015501835941273807,0.26923078298568726,2001,12.711538314819336,2002.0,1.442307710647583,2003.0,6.653846263885498,2004.0,2.576923131942749,2005.0,4.711538314819336,2006.0,3.711538553237915,2007.0,9.65384578704834,2008.0,COMPLETE
42,5.56730779260397,2026-06-17 16:22:36.686266,2026-06-17 16:22:38.824612,0 days 00:00:02.138346,32,0.3772253163712426,128,0.0009552459334815525,2,24,0.003537184747032588,0.26923078298568726,2001,12.788461685180664,2002.0,1.384615421295166,2003.0,8.84615421295166,2004.0,2.730769157409668,2005.0,4.692307472229004,2006.0,3.711538553237915,2007.0,10.115385055541992,2008.0,COMPLETE
43,5.2403846979141235,2026-06-17 16:22:38.831759,2026-06-17 16:22:42.746948,0 days 00:00:03.915189,32,0.4130358975388588,128,0.0005649227575095175,2,24,0.0014339986627897386,0.25,2001,12.807692527770996,2002.0,1.442307710647583,2003.0,6.92307710647583,2004.0,2.807692289352417,2005.0,4.82692289352417,2006.0,3.75,2007.0,9.115385055541992,2008.0,COMPLETE
44,5.399038352072239,2026-06-17 16:22:42.754196,2026-06-17 16:22:45.307905,0 days 00:00:02.553709,32,0.2738661642375897,128,0.0016497440293419972,2,24,0.0015495063869297415,0.26923078298568726,2001,12.90384578704834,2002.0,1.5384615659713745,2003.0,7.634615421295166,2004.0,2.75,2005.0,5.07692289352417,2006.0,3.865384578704834,2007.0,9.15384578704834,2008.0,COMPLETE
45,6.12980767339468,2026-06-17 16:22:45.317049,2026-06-17 16:22:49.855487,0 days 00:00:04.538438,32,0.35435978040921373,96,0.00017828637587185493,2,4,0.005762833719819242,0.26923078298568726,2001,13.173076629638672,2002.0,1.423076868057251,2003.0,8.461538314819336,2004.0,3.076923131942749,2005.0,5.288461685180664,2006.0,3.826923131942749,2007.0,13.519230842590332,2008.0,COMPLETE
46,5.454326920211315,2026-06-17 16:22:49.863527,2026-06-17 16:22:52.871567,0 days 00:00:03.008040,64,0.2810820197608637,128,0.0006902630521698298,2,24,3.197229503388999e-05,0.26923078298568726,2001,12.769230842590332,2002.0,1.384615421295166,2003.0,8.269230842590332,2004.0,2.615384578704834,2005.0,4.903846263885498,2006.0,3.730769157409668,2007.0,9.692307472229004,2008.0,COMPLETE
47,5.348557703197002,2026-06-17 16:22:52.878882,2026-06-17 16:22:59.643955,0 days 00:00:06.765073,16,0.44998902259092294,64,0.00038228377358371946,1,24,1.1105788556954338e-05,0.26923078298568726,2001,13.230769157409668,2002.0,1.423076868057251,2003.0,7.346153736114502,2004.0,2.903846263885498,2005.0,4.730769157409668,2006.0,3.538461446762085,2007.0,9.34615421295166,2008.0,COMPLETE
48,0.32692307233810425,2026-06-17 16:22:59.651334,2026-06-17 16:22:59.780219,0 days 00:00:00.128885,32,0.4091456885184507,64,0.0012471600534844365,2,16,0.0005441734363781142,0.32692307233810425,2001,,,,,,,,,,,,,,,PRUNED
49,5.95432686060667,2026-06-17 16:22:59.786842,2026-06-17 16:23:03.232427,0 days 00:00:03.445585,64,0.3894942668769453,128,0.00010030579356837807,2,24,4.754631268895562e-06,0.26923078298568726,2001,13.538461685180664,2002.0,1.634615421295166,2003.0,7.961538314819336,2004.0,2.673076868057251,2005.0,4.730769157409668,2006.0,3.692307710647583,2007.0,13.134614944458008,2008.0,COMPLETE
