number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_fold_10_mae,user_attrs_fold_10_year,user_attrs_fold_11_mae,user_attrs_fold_11_year,user_attrs_fold_12_mae,user_attrs_fold_12_year,user_attrs_fold_13_mae,user_attrs_fold_13_year,user_attrs_fold_14_mae,user_attrs_fold_14_year,user_attrs_fold_15_mae,user_attrs_fold_15_year,user_attrs_fold_16_mae,user_attrs_fold_16_year,user_attrs_fold_1_mae,user_attrs_fold_1_year,user_attrs_fold_2_mae,user_attrs_fold_2_year,user_attrs_fold_3_mae,user_attrs_fold_3_year,user_attrs_fold_4_mae,user_attrs_fold_4_year,user_attrs_fold_5_mae,user_attrs_fold_5_year,user_attrs_fold_6_mae,user_attrs_fold_6_year,user_attrs_fold_7_mae,user_attrs_fold_7_year,user_attrs_fold_8_mae,user_attrs_fold_8_year,user_attrs_fold_9_mae,user_attrs_fold_9_year,state
22,16.9843752682209,2026-06-17 16:09:55.978390,2026-06-17 16:09:59.785160,0 days 00:00:03.806770,64,0.09460817986734907,128,0.003614930126366528,1,24,0.0006523286883742433,16.538461685180664,2000.0,7.538461685180664,2001.0,9.288461685180664,2002.0,7.115384578704834,2003.0,6.403846263885498,2004.0,10.288461685180664,2005.0,4.019230842590332,2006.0,21.903846740722656,1991,16.05769157409668,1992.0,8.980769157409668,1993.0,70.71154022216797,1994.0,16.403846740722656,1995.0,6.403846263885498,1996.0,8.615385055541992,1997.0,51.403846740722656,1998.0,10.076923370361328,1999.0,COMPLETE
23,17.137019485235214,2026-06-17 16:09:59.792472,2026-06-17 16:10:03.928459,0 days 00:00:04.135987,64,0.10240796720700451,128,0.002480671517863667,1,24,0.0005438834667551603,12.384614944458008,2000.0,9.365385055541992,2001.0,8.211538314819336,2002.0,8.076923370361328,2003.0,6.57692289352417,2004.0,14.384614944458008,2005.0,3.75,2006.0,14.615385055541992,1991,15.423076629638672,1992.0,7.711538314819336,1993.0,82.26923370361328,1994.0,11.09615421295166,1995.0,10.211538314819336,1996.0,9.230769157409668,1997.0,50.96154022216797,1998.0,9.923076629638672,1999.0,COMPLETE
24,17.97475990653038,2026-06-17 16:10:03.937344,2026-06-17 16:10:07.228550,0 days 00:00:03.291206,64,0.030415793773127017,128,0.003494347082363791,1,24,0.003556221598996681,10.538461685180664,2000.0,8.40384578704834,2001.0,15.942307472229004,2002.0,7.807692527770996,2003.0,6.17307710647583,2004.0,16.653846740722656,2005.0,4.230769157409668,2006.0,15.538461685180664,1991,17.596153259277344,1992.0,13.09615421295166,1993.0,85.67308044433594,1994.0,13.384614944458008,1995.0,8.134614944458008,1996.0,8.038461685180664,1997.0,46.71154022216797,1998.0,9.673076629638672,1999.0,COMPLETE
25,32.80769348144531,2026-06-17 16:10:07.235863,2026-06-17 16:10:07.464012,0 days 00:00:00.228149,64,0.1527598048853623,32,0.0012498230263854695,1,4,0.0005975120972966023,,,,,,,,,,,,,,,32.80769348144531,1991,,,,,,,,,,,,,,,,,PRUNED
26,23.826923370361328,2026-06-17 16:10:07.470261,2026-06-17 16:10:07.594943,0 days 00:00:00.124682,32,0.22405990898048392,96,0.0020418949332234658,1,24,0.00998358980762862,,,,,,,,,,,,,,,23.826923370361328,1991,,,,,,,,,,,,,,,,,PRUNED
27,16.570512771606445,2026-06-17 16:10:07.601621,2026-06-17 16:10:07.899330,0 days 00:00:00.297709,64,0.08486151443353088,128,0.0038938966068285006,1,24,0.00012468402661916264,,,,,,,,,,,,,,,21.0,1991,15.442307472229004,1992.0,13.269230842590332,1993.0,,,,,,,,,,,,,PRUNED
28,24.576923370361328,2026-06-17 16:10:07.905840,2026-06-17 16:10:08.031997,0 days 00:00:00.126157,64,0.04395908802517543,128,0.002892611517660557,1,24,0.00024123838794500618,,,,,,,,,,,,,,,24.576923370361328,1991,,,,,,,,,,,,,,,,,PRUNED
29,53.86538314819336,2026-06-17 16:10:08.038637,2026-06-17 16:10:08.145978,0 days 00:00:00.107341,32,0.0058932660562663886,16,0.0003140813378677943,1,24,0.002491567028711349,,,,,,,,,,,,,,,53.86538314819336,1991,,,,,,,,,,,,,,,,,PRUNED
30,23.134614944458008,2026-06-17 16:10:08.152662,2026-06-17 16:10:08.278843,0 days 00:00:00.126181,64,0.20467395251579124,128,0.0017208258917462626,1,16,0.0008910628123908626,,,,,,,,,,,,,,,23.134614944458008,1991,,,,,,,,,,,,,,,,,PRUNED
31,22.423076629638672,2026-06-17 16:10:08.285208,2026-06-17 16:10:08.408829,0 days 00:00:00.123621,64,0.1011035343254023,128,0.002676322123202487,1,24,0.0005097687355397992,,,,,,,,,,,,,,,22.423076629638672,1991,,,,,,,,,,,,,,,,,PRUNED
32,26.326923370361328,2026-06-17 16:10:08.415086,2026-06-17 16:10:08.520553,0 days 00:00:00.105467,64,0.1352884781828274,128,0.0037930810600898305,1,24,0.00042341856873262507,,,,,,,,,,,,,,,26.326923370361328,1991,,,,,,,,,,,,,,,,,PRUNED
33,23.55769157409668,2026-06-17 16:10:08.526904,2026-06-17 16:10:08.638657,0 days 00:00:00.111753,64,0.1032728367115619,128,0.0025375582969268326,1,24,6.186157836438904e-05,,,,,,,,,,,,,,,23.55769157409668,1991,,,,,,,,,,,,,,,,,PRUNED
34,29.923076629638672,2026-06-17 16:10:08.645054,2026-06-17 16:10:08.838220,0 days 00:00:00.193166,32,0.08701824912113863,96,0.0006134099929941683,1,8,0.005012370390493389,,,,,,,,,,,,,,,29.923076629638672,1991,,,,,,,,,,,,,,,,,PRUNED
35,23.538461685180664,2026-06-17 16:10:08.844401,2026-06-17 16:10:08.955296,0 days 00:00:00.110895,64,0.044948207485525284,128,0.0020826560606241346,1,24,0.00018542969989623464,,,,,,,,,,,,,,,23.538461685180664,1991,,,,,,,,,,,,,,,,,PRUNED
36,30.288461685180664,2026-06-17 16:10:08.961684,2026-06-17 16:10:09.159490,0 days 00:00:00.197806,64,0.14250657483043966,32,0.001571539373788699,1,4,0.0006720107861798718,,,,,,,,,,,,,,,30.288461685180664,1991,,,,,,,,,,,,,,,,,PRUNED
37,29.75,2026-06-17 16:10:09.165878,2026-06-17 16:10:09.287854,0 days 00:00:00.121976,32,0.17604415723922007,128,0.004110986617755107,1,8,1.1189781564947945e-06,,,,,,,,,,,,,,,29.75,1991,,,,,,,,,,,,,,,,,PRUNED
38,37.653846740722656,2026-06-17 16:10:09.294045,2026-06-17 16:10:09.529737,0 days 00:00:00.235692,64,0.40742274553431507,16,0.0010559740688055221,1,24,0.0017788825360095563,,,,,,,,,,,,,,,37.653846740722656,1991,,,,,,,,,,,,,,,,,PRUNED
39,19.442307472229004,2026-06-17 16:10:09.535938,2026-06-17 16:10:09.754328,0 days 00:00:00.218390,64,0.022761061104728433,128,0.00312470810027351,1,12,0.0037098131362610903,,,,,,,,,,,,,,,20.711538314819336,1991,18.173076629638672,1992.0,,,,,,,,,,,,,,,PRUNED
40,46.096153259277344,2026-06-17 16:10:09.760663,2026-06-17 16:10:10.036154,0 days 00:00:00.275491,64,0.12106877460441032,32,0.00032824046459536743,2,24,0.00026932629630619395,,,,,,,,,,,,,,,46.096153259277344,1991,,,,,,,,,,,,,,,,,PRUNED
41,16.5721156001091,2026-06-17 16:10:10.042696,2026-06-17 16:10:14.218913,0 days 00:00:04.176217,64,0.0828969769967553,128,0.004634813178823418,1,24,0.0012823273424906088,18.653846740722656,2000.0,13.769230842590332,2001.0,10.09615421295166,2002.0,5.480769157409668,2003.0,5.711538314819336,2004.0,11.40384578704834,2005.0,4.096153736114502,2006.0,17.711538314819336,1991,12.673076629638672,1992.0,14.34615421295166,1993.0,67.11538696289062,1994.0,13.192307472229004,1995.0,5.115384578704834,1996.0,8.788461685180664,1997.0,47.05769348144531,1998.0,9.942307472229004,1999.0,COMPLETE
42,16.25,2026-06-17 16:10:14.227399,2026-06-17 16:10:14.491617,0 days 00:00:00.264218,64,0.0643348110572341,128,0.0042409843731315245,1,24,0.0010843755048739715,,,,,,,,,,,,,,,18.288461685180664,1991,15.692307472229004,1992.0,14.769230842590332,1993.0,,,,,,,,,,,,,PRUNED
43,16.179487228393555,2026-06-17 16:10:14.497878,2026-06-17 16:10:14.749589,0 days 00:00:00.251711,64,0.09962145189827276,128,0.003140669369984138,1,24,0.0030227233271470336,,,,,,,,,,,,,,,20.826923370361328,1991,14.038461685180664,1992.0,13.673076629638672,1993.0,,,,,,,,,,,,,PRUNED
44,23.211538314819336,2026-06-17 16:10:14.756105,2026-06-17 16:10:14.872005,0 days 00:00:00.115900,64,0.13046243390712825,96,0.002689775556450654,1,24,0.005785094565358564,,,,,,,,,,,,,,,23.211538314819336,1991,,,,,,,,,,,,,,,,,PRUNED
45,27.980770111083984,2026-06-17 16:10:14.878309,2026-06-17 16:10:15.007232,0 days 00:00:00.128923,64,0.16759309111403314,128,0.0022725952312097554,1,4,0.0015443039555987676,,,,,,,,,,,,,,,27.980770111083984,1991,,,,,,,,,,,,,,,,,PRUNED
46,23.788461685180664,2026-06-17 16:10:15.013750,2026-06-17 16:10:15.223741,0 days 00:00:00.209991,16,0.28861070640364633,16,0.004340204771079618,1,24,0.0007701992877529471,,,,,,,,,,,,,,,23.788461685180664,1991,,,,,,,,,,,,,,,,,PRUNED
47,31.75,2026-06-17 16:10:15.229911,2026-06-17 16:10:15.472555,0 days 00:00:00.242644,64,0.03374074163479295,128,0.00021181430689229077,1,16,0.00037496337862279096,,,,,,,,,,,,,,,31.75,1991,,,,,,,,,,,,,,,,,PRUNED
48,17.48197142779827,2026-06-17 16:10:15.478901,2026-06-17 16:10:21.252585,0 days 00:00:05.773684,32,0.05758274998190563,64,0.003337875944976759,1,24,0.00014826338355299428,15.730769157409668,2000.0,7.711538314819336,2001.0,8.807692527770996,2002.0,7.980769157409668,2003.0,7.346153736114502,2004.0,14.615385055541992,2005.0,3.576923131942749,2006.0,17.653846740722656,1991,16.25,1992.0,9.230769157409668,1993.0,88.46154022216797,1994.0,9.480769157409668,1995.0,9.769230842590332,1996.0,7.884615421295166,1997.0,44.21154022216797,1998.0,11.0,1999.0,COMPLETE
49,53.86538314819336,2026-06-17 16:10:21.259906,2026-06-17 16:10:21.371294,0 days 00:00:00.111388,64,0.0029872690305969007,128,0.00010030579356837807,2,24,5.6479031367807006e-05,,,,,,,,,,,,,,,53.86538314819336,1991,,,,,,,,,,,,,,,,,PRUNED
